track_id,track_name,artist_s__name,artist_count,release_date,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts_moda,total_playlists,streams_int,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,mode,quartiles_streams,streams_classification,bpm_classification,danceability_classification,valence_classification,energy_classification,acousticness_classification,instrumentalness_classification,liveness_classification,speechiness_classification,spotify_playlists_classification,spotify_charts_classification,apple_playlists_classification,apple_charts_classification,deezer_playlists_classification,deezer_charts_classification,shazam_charts_classification,total_playlists_classification
8292846,"HEY, MICKEY!",BABY TATE,1,27/09/2016,482,0,9,1,12,4,3,506,122763672,135,92,73,51,55,0,15,6,Major,1,Baixo,Baixo,Alto,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo
3108040,STILL LIFE,BIGBANG,1,05/04/2022,181,0,16,14,7,0,0,195,53909146,118,68,24,58,44,0,6,3,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
4618597,FOR YOUTH,BTS,1,10/06/2022,327,0,5,40,12,0,0,351,114546317,117,63,29,51,43,0,25,4,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
8715137,MISERABLE MAN,DAVID KUSHNER,1,07/01/2022,788,0,13,0,32,1,0,852,124407432,110,63,31,35,93,0,29,3,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
4671002,BOYFRIENDS,HARRY STYLES,1,20/05/2022,1517,0,26,2,30,0,0,1577,137070925,118,42,32,20,94,0,11,4,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
6987709,PEACHES (FROM THE SUPER MARIO BROS. MOVIE),JACK BLACK,1,07/04/2023,34,0,0,0,0,0,0,34,68216992,92,71,41,31,79,0,10,5,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3186172,WORLDWIDE STEPPERS,KENDRICK LAMAR,1,13/05/2022,1480,0,1,0,5,0,0,1490,61739839,72,56,56,47,76,0,8,36,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3635714,SAVIOR - INTERLUDE,KENDRICK LAMAR,1,13/05/2022,1194,0,0,0,3,0,0,1200,37091576,118,66,83,43,84,0,19,19,Minor,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1713130,AUNTIE DIARIES,KENDRICK LAMAR,1,13/05/2022,1545,0,1,0,4,0,0,1553,37778188,78,43,60,38,76,1,48,38,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1671724,COUNT ME OUT,KENDRICK LAMAR,1,13/05/2022,2729,0,3,7,13,0,1,2755,126191104,134,78,51,43,69,0,14,9,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
5264430,RICH - INTERLUDE,KENDRICK LAMAR,1,13/05/2022,1103,0,0,0,0,0,0,1103,41210087,104,44,74,42,88,0,9,9,Major,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
7556948,CROWN,KENDRICK LAMAR,1,13/05/2022,1493,0,2,0,10,0,0,1513,42485571,170,37,14,24,80,0,11,4,Minor,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
8167749,DECK THE HALL - REMASTERED 1999,NAT KING COLE,1,01/01/1959,3299,0,65,39,41,0,0,3381,127027715,107,69,96,36,81,0,8,4,Minor,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3476877,MY MIND & ME,SELENA GOMEZ,1,03/11/2022,953,0,61,13,37,1,0,1027,91473363,144,60,24,39,57,0,8,3,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2678616,TOO LATE,SZA,1,08/12/2022,714,0,0,9,2,0,0,718,49262961,128,45,35,68,78,0,39,8,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
5602322,FAR,SZA,1,09/12/2022,680,0,2,15,1,0,0,682,51641685,116,61,48,55,67,0,16,8,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
