artist_s__name,total_solo_songs,streams_avg
AEROSMITH,1,838586769
ANDY WILLIAMS,1,663832097
ARMANI WHITE,1,277132266
BABY TATE,1,122763672
BAND AID,1,481697415
BELLAKATH,1,168684524
BIGBANG,1,53909146
BOBBY HELMS,1,741301563
BOYWITHUKE,1,582981380
BRENDA LEE,1,769213520
BRITNEY SPEARS,1,261116938
BURL IVES,1,395591396
C. TANGANA,1,339473453
CHANEL,1,65719930
CHASE ATLANTIC,1,498960285
CHILDISH GAMBINO,1,445590495
CHRIS REA,1,429504768
CHUCK BERRY,1,245350949
DARLENE LOVE,1,242767149
DEAN MARTIN,1,446390129
DEMI LOVATO,1,677389855
DOVE CAMERON,1,496311364
DUNCAN LAURENCE,1,991336132
EM BEIHOLD,1,258714692
EMMY MELI,1,225259194
FRANK SINATRA,1,178660459
FREDDIE DREDD,1,199386237
GAYLE,1,1007612429
GIRL IN RED,1,723043854
HALSEY,1,91781263
J-HOPE,1,155795783
JACK BLACK,1,68216992
JASON DERULO,1,363467642
JAYMES YOUNG,1,888046992
JESSI,1,136996305
JESSICA DARROW,1,267758538
JNR CHOI,1,245095641
JOHN LEGEND,1,2086124197
JOS FELIC,1,520034544
KALUSH,1,53729194
KATE BUSH,1,1024858327
KELLY CLARKSON,1,485285717
KODAK BLACK,1,342779426
LAUREN SPENCER SMITH,1,184826429
LEAH KATE,1,185550869
LIL TJAY,1,190981339
LIL YACHTY,1,115331792
MAC DEMARCO,1,244658767
MARIAH CAREY,1,1449779435
MASKED WOLF,1,1138474110
MELANIE MARTINEZ,1,67070410
METALLICA,1,704171068
MUNI LONG,1,181328253
MUSICAL YOUTH,1,195918494
NAYEON,1,213505179
NESSA BARRETT,1,131746175
NF,1,52722996
NMIXX,1,135444283
OLIVER TREE,1,501541661
OMAR APOLLO,1,227918678
PALOMA FAITH,1,588955257
PANIC! AT THE DISCO,1,582863434
PAUL MCCARTNEY,1,403939487
PINKPANTHERESS,1,156338624
PNB ROCK,1,380319238
POLO G,1,797402345
RIHANNA,1,297328960
SALES,1,156658366
SAM RYDER,1,54682594
SELENA GOMEZ,1,91473363
SHAKIN' STEVENS,1,351636786
SIM,1,71014967
SLEEPY HALLOW,1,624515457
SOFIA CARSON,1,97610446
SOUTHSTAR,1,154356956
STROMAE,1,108809090
SUKI WATERHOUSE,1,184706613
THE RARE OCCASIONS,1,421135627
THE RONETTES,1,404664135
TI,1,1062345656
TOMORROW X TOGETHER,1,107642809
TONES AND I,1,2864791672
TREASURE,1,182978249
TREYCE,1,70069745
TRUENO,1,198883004
VICTOR CIBRIAN,1,164856284
VUNDABAR,1,370068639
WHAM!,1,1159176109
